Pays,ISO3,Année,ECGTE_TaxeEnv_DeviseNat,ECGTE_TaxeEnv_PctPIB,ECGTEN_TaxeEnergie_CarbIncl_DeviseNat,ECGTEN_TaxeEnergie_CarbIncl_PctPIB,ECGTEP_TaxePollution_DeviseNat,ECGTEP_TaxePollution_PctPIB,ECGTER_TaxeRess_DeviseNat,ECGTER_TaxeRess_PctPIB,ECGTET_TaxeTransp_CarbExcl_DeviseNat,ECGTET_TaxeTransp_CarbExcl_PctPIB
Antigua and Barbuda,ATG,2013,23220000.0,0.73,13800000.0,0.43,0.0,0.0,0.0,0.0,9420000.0,0.3
Antigua and Barbuda,ATG,2014,7900000.0,0.23,560000.0,0.02,0.0,0.0,0.0,0.0,7350000.0,0.22
Antigua and Barbuda,ATG,2015,13300000.0,0.37,5360000.0,0.15,0.0,0.0,0.0,0.0,7940000.0,0.22
Antigua and Barbuda,ATG,2016,9060000.0,0.23,1900000.0,0.05,0.0,0.0,0.0,0.0,7150000.0,0.18
Antigua and Barbuda,ATG,2017,12460000.0,0.31,4860000.0,0.12,0.0,0.0,0.0,0.0,7600000.0,0.19
Antigua and Barbuda,ATG,2018,13650000.0,0.32,4380000.0,0.1,0.0,0.0,0.0,0.0,9270000.0,0.21
Antigua and Barbuda,ATG,2019,13120000.0,0.29,4000000.0,0.09,0.0,0.0,0.0,0.0,9130000.0,0.2
Antigua and Barbuda,ATG,2020,8000000.0,0.22,3760000.0,0.1,0.0,0.0,0.0,0.0,4240000.0,0.12
Antigua and Barbuda,ATG,2021,9370000.0,0.24,4060000.0,0.1,0.0,0.0,0.0,0.0,5310000.0,0.13
Argentina,ARG,1995,2780700000.0,0.81,1968700000.0,0.57,0.0,0.0,0.0,0.0,812000000.0,0.24
Argentina,ARG,1996,3344500000.0,0.97,2521500000.0,0.73,0.0,0.0,0.0,0.0,823000000.0,0.24
Argentina,ARG,1997,5129950000.0,1.42,4099600000.0,1.13,0.0,0.0,0.0,0.0,1030350000.0,0.28
Argentina,ARG,1998,5050810000.0,1.3,3876600000.0,1.0,0.0,0.0,0.0,0.0,1174210000.0,0.3
Argentina,ARG,1999,4767830000.0,1.2,3751730000.0,0.95,0.0,0.0,0.0,0.0,1016100000.0,0.26
Argentina,ARG,2000,4536060000.0,1.21,3682510000.0,0.98,0.0,0.0,0.0,0.0,853550000.0,0.23
Argentina,ARG,2001,4407160000.0,1.17,3627450000.0,0.96,0.0,0.0,0.0,0.0,779720000.0,0.21
Argentina,ARG,2002,5363260000.0,1.51,4707510000.0,1.32,0.0,0.0,0.0,0.0,655750000.0,0.18
Argentina,ARG,2003,6046670000.0,1.48,5176230000.0,1.26,0.0,0.0,0.0,0.0,870440000.0,0.21
Argentina,ARG,2004,6676490000.0,1.38,5644840000.0,1.16,0.0,0.0,0.0,0.0,1031650000.0,0.21
Argentina,ARG,2005,7589870000.0,1.3,6300460000.0,1.08,0.0,0.0,0.0,0.0,1289410000.0,0.22
Argentina,ARG,2006,8638360000.0,1.21,7062360000.0,0.99,0.0,0.0,0.0,0.0,1576000000.0,0.22
Argentina,ARG,2007,9924510000.0,1.11,8003400000.0,0.89,0.0,0.0,0.0,0.0,1921110000.0,0.21
Argentina,ARG,2008,12772700000.0,1.11,10249430000.0,0.89,0.0,0.0,0.0,0.0,2523270000.0,0.22
Argentina,ARG,2009,15416440000.0,1.24,12152740000.0,0.97,0.0,0.0,0.0,0.0,3263700000.0,0.26
Argentina,ARG,2010,19485080000.0,1.17,15859560000.0,0.95,0.0,0.0,0.0,0.0,3625520000.0,0.22
Argentina,ARG,2011,23699140000.0,1.09,18747930000.0,0.86,0.0,0.0,0.0,0.0,4951210000.0,0.23
Argentina,ARG,2012,32957980000.0,1.25,26395470000.0,1.0,0.0,0.0,0.0,0.0,6562510000.0,0.25
Argentina,ARG,2013,40801220000.0,1.22,31557250000.0,0.94,0.0,0.0,0.0,0.0,9243970000.0,0.28
Argentina,ARG,2014,57223640000.0,1.25,45097510000.0,0.99,0.0,0.0,0.0,0.0,12126130000.0,0.27
Argentina,ARG,2015,74191640000.0,1.25,57068690000.0,0.96,0.0,0.0,0.0,0.0,17122950000.0,0.29
Argentina,ARG,2016,100506850000.0,1.22,76300500000.0,0.93,0.0,0.0,0.0,0.0,24206350000.0,0.29
Argentina,ARG,2017,140962670000.0,1.32,104613350000.0,0.98,0.0,0.0,0.0,0.0,36349310000.0,0.34
Argentina,ARG,2018,160553290000.0,1.09,118582960000.0,0.8,0.0,0.0,0.0,0.0,41970330000.0,0.28
Argentina,ARG,2019,235518790000.0,1.08,177907070000.0,0.82,0.0,0.0,0.0,0.0,57611720000.0,0.26
Argentina,ARG,2020,291908780000.0,1.06,212955700000.0,0.78,0.0,0.0,0.0,0.0,78953080000.0,0.29
Argentina,ARG,2021,512768720000.0,1.1,380643290000.0,0.82,0.0,0.0,0.0,0.0,132125430000.0,0.28
"Armenia, Rep. of",ARM,2015,44289310550.0,0.878123146425478,285120240.0,0.005653072471646,8560494270.0,0.169728723928616,22695180580.0,0.449976825832616,12748515460.0,0.2527645241926
"Armenia, Rep. of",ARM,2016,41988108560.0,0.828610155697514,315581370.0,0.0062278091845281,7700026420.0,0.151955406174914,20211168440.0,0.398855295040637,13761332330.0,0.271571645297435
"Armenia, Rep. of",ARM,2017,58406401750.0,1.04962659852605,310139670.0,0.0055735473704317,9598325610.0,0.172492356312119,32673639220.0,0.587180852926896,15824297250.0,0.284379841916604
"Armenia, Rep. of",ARM,2018,70490695380.0,1.17151874697359,305674280.0,0.0050801477777627,11813980970.0,0.196342227979654,42919631040.0,0.713301977026825,15451409090.0,0.256794394189351
"Armenia, Rep. of",ARM,2019,81566448910.0,1.24656025491517,257217300.0,0.0039309896083668,22500230740.0,0.343865569014197,41789659120.0,0.638661224334099,17019341750.0,0.260102471958509
"Armenia, Rep. of",ARM,2020,62077900000.0,1.00418761046154,262500000.0,0.004246265542909,6958200000.0,0.112557580573981,47898900000.0,0.774824566145704,6958300000.0,0.112559198198949
Australia,AUS,1995,15230000000.0,2.88,10427000000.0,1.97,22000000.0,0.0,0.0,0.0,4781000000.0,0.9
Australia,AUS,1996,15563000000.0,2.8,10509000000.0,1.89,39000000.0,0.01,0.0,0.0,5015000000.0,0.9
Australia,AUS,1997,17796900000.0,3.02,12594000000.0,2.14,81000000.0,0.01,0.0,0.0,5121900000.0,0.87
Australia,AUS,1998,19296700000.0,3.11,13485000000.0,2.17,142700000.0,0.02,0.0,0.0,5669000000.0,0.91
Australia,AUS,1999,19198300000.0,2.9,13756000000.0,2.08,144300000.0,0.02,0.0,0.0,5298000000.0,0.8
Australia,AUS,2000,18207900000.0,2.58,12445000000.0,1.76,151900000.0,0.02,0.0,0.0,5611000000.0,0.79
Australia,AUS,2001,19304000000.0,2.55,12779000000.0,1.69,160000000.0,0.02,0.0,0.0,6365000000.0,0.84
Australia,AUS,2002,19772400000.0,2.46,13283000000.0,1.66,132400000.0,0.02,0.0,0.0,6357000000.0,0.79
Australia,AUS,2003,20886700000.0,2.42,13879000000.0,1.61,166300000.0,0.02,0.0,0.0,6841400000.0,0.79
Australia,AUS,2004,21857100000.0,2.36,14699000000.0,1.59,185000000.0,0.02,0.0,0.0,6973100000.0,0.75
Australia,AUS,2005,21565000000.0,2.16,14422000000.0,1.44,203000000.0,0.02,0.0,0.0,6940000000.0,0.7
Australia,AUS,2006,22628000000.0,2.08,15005000000.0,1.38,200000000.0,0.02,0.0,0.0,7423000000.0,0.68
Australia,AUS,2007,23749000000.0,2.01,15432000000.0,1.31,277000000.0,0.02,0.0,0.0,8040000000.0,0.68
Australia,AUS,2008,23052000000.0,1.83,14906000000.0,1.18,303000000.0,0.02,0.0,0.0,7843000000.0,0.62
Australia,AUS,2009,25031000000.0,1.92,16085000000.0,1.23,350000000.0,0.03,0.0,0.0,8596000000.0,0.66
Australia,AUS,2010,26515000000.0,1.87,16843000000.0,1.19,483000000.0,0.03,516000000.0,0.04,8673000000.0,0.61
Australia,AUS,2011,27278420000.0,1.82,16925000000.0,1.13,601000000.0,0.04,548000000.0,0.04,9204420000.0,0.61
Australia,AUS,2012,35816740000.0,2.33,24378270000.0,1.59,766000000.0,0.05,759000000.0,0.05,9913470000.0,0.65
Australia,AUS,2013,36746680000.0,2.3,24684500000.0,1.54,847000000.0,0.05,794000000.0,0.05,10421180000.0,0.65
Australia,AUS,2014,30007500000.0,1.85,17590000000.0,1.08,806000000.0,0.05,738000000.0,0.05,10873500000.0,0.67
Australia,AUS,2015,31087920000.0,1.88,17965000000.0,1.08,926000000.0,0.06,941000000.0,0.06,11255920000.0,0.68
Australia,AUS,2016,30914660000.0,1.76,18428000000.0,1.05,935050000.0,0.05,867000000.0,0.05,10684610000.0,0.61
Australia,AUS,2017,32610140000.0,1.77,18749020000.0,1.02,1005570000.0,0.06,833000000.0,0.05,12022560000.0,0.65
Australia,AUS,2018,32802070000.0,1.69,18749020000.0,0.96,1031260000.0,0.05,799000000.0,0.04,12222800000.0,0.63
Australia,AUS,2019,33072790000.0,1.67,18749020000.0,0.95,1048850000.0,0.05,784000000.0,0.04,12490920000.0,0.63
Australia,AUS,2020,33085740000.0,1.59,18749020000.0,0.9,1077120000.0,0.05,0.0,0.0,13259610000.0,0.64
Australia,AUS,2021,34618570000.0,1.5,18749020000.0,0.81,1079040000.0,0.05,0.0,0.0,14790520000.0,0.64
Austria,AUT,1995,3625110000.0,2.05,2296190000.0,1.3,20720000.0,0.01,8300000.0,0.01,1299900000.0,0.74
Austria,AUT,1996,3955370000.0,2.17,2592420000.0,1.42,21110000.0,0.01,10370000.0,0.01,1331480000.0,0.73
Austria,AUT,1997,4631420000.0,2.45,3059410000.0,1.62,32530000.0,0.02,8860000.0,0.01,1530620000.0,0.81
Austria,AUT,1998,4704160000.0,2.4,2986090000.0,1.52,43440000.0,0.02,9100000.0,0.01,1665530000.0,0.85
Austria,AUT,1999,4901360000.0,2.4,3099950000.0,1.52,63810000.0,0.03,10120000.0,0.01,1727480000.0,0.85
Austria,AUT,2000,5365670000.0,2.51,3288200000.0,1.54,70540000.0,0.03,11770000.0,0.01,1995170000.0,0.93
Austria,AUT,2001,6001650000.0,2.72,3634950000.0,1.65,88570000.0,0.04,11270000.0,0.01,2266850000.0,1.03
Austria,AUT,2002,6269980000.0,2.77,3801010000.0,1.68,93180000.0,0.04,9790000.0,0.0,2366000000.0,1.04
Austria,AUT,2003,6563900000.0,2.83,4009300000.0,1.73,96820000.0,0.04,11900000.0,0.01,2445880000.0,1.06
Austria,AUT,2004,6751260000.0,2.79,4330140000.0,1.79,57110000.0,0.02,12030000.0,0.01,2351980000.0,0.97
Austria,AUT,2005,6869070000.0,2.7,4350280000.0,1.71,45540000.0,0.02,13520000.0,0.01,2459730000.0,0.97
Austria,AUT,2006,6828130000.0,2.55,4221270000.0,1.58,72100000.0,0.03,11100000.0,0.0,2523660000.0,0.94
Austria,AUT,2007,7058870000.0,2.49,4453190000.0,1.57,72320000.0,0.03,10300000.0,0.0,2523070000.0,0.89
Austria,AUT,2008,7247230000.0,2.47,4603030000.0,1.57,64360000.0,0.02,11010000.0,0.0,2568830000.0,0.87
Austria,AUT,2009,7123270000.0,2.47,4460890000.0,1.55,57300000.0,0.02,12450000.0,0.0,2592630000.0,0.9
Austria,AUT,2010,7268780000.0,2.46,4585280000.0,1.55,50880000.0,0.02,11420000.0,0.0,2621200000.0,0.89
Austria,AUT,2011,7876890000.0,2.54,5007550000.0,1.62,52810000.0,0.02,11470000.0,0.0,2805060000.0,0.9
Austria,AUT,2012,8047460000.0,2.53,5030730000.0,1.58,53100000.0,0.02,18170000.0,0.01,2945480000.0,0.92
Austria,AUT,2013,8131210000.0,2.51,5093460000.0,1.57,53200000.0,0.02,19690000.0,0.01,2964870000.0,0.92
Austria,AUT,2014,8402950000.0,2.52,5023850000.0,1.51,53740000.0,0.02,21960000.0,0.01,3303390000.0,0.99
Austria,AUT,2015,8652970000.0,2.51,5216400000.0,1.52,55690000.0,0.02,23420000.0,0.01,3357470000.0,0.98
Austria,AUT,2016,8856340000.0,2.48,5284470000.0,1.48,58110000.0,0.02,23150000.0,0.01,3490610000.0,0.98
Austria,AUT,2017,9336680000.0,2.53,5539730000.0,1.5,62500000.0,0.02,23850000.0,0.01,3710610000.0,1.0
Austria,AUT,2018,9286040000.0,2.41,5385290000.0,1.4,79340000.0,0.02,24690000.0,0.01,3796730000.0,0.99
Austria,AUT,2019,9582260000.0,2.41,5556190000.0,1.4,69380000.0,0.02,28910000.0,0.01,3927790000.0,0.99
Austria,AUT,2020,8423920000.0,2.21,4599400000.0,1.21,57030000.0,0.02,18070000.0,0.01,3749420000.0,0.98
Austria,AUT,2021,9250910000.0,2.28,5310580000.0,1.31,66180000.0,0.02,18880000.0,0.01,3855270000.0,0.95
"Bahamas, The",BHS,1995,65030000.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,65030000.0,1.9
"Bahamas, The",BHS,1996,61660000.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0,61660000.0,1.71
"Bahamas, The",BHS,1997,63560000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,63560000.0,1.0
"Bahamas, The",BHS,1998,68580000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,68580000.0,1.0
"Bahamas, The",BHS,1999,72610000.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,72610000.0,0.95
"Bahamas, The",BHS,2000,77930000.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,77930000.0,0.97
"Bahamas, The",BHS,2001,77140000.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,77140000.0,0.93
"Bahamas, The",BHS,2002,80160000.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,80160000.0,0.9
"Bahamas, The",BHS,2003,77950000.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,77950000.0,0.88
"Bahamas, The",BHS,2004,86490000.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,86490000.0,0.96
"Bahamas, The",BHS,2005,87310000.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,87310000.0,0.89
"Bahamas, The",BHS,2006,96600000.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,96600000.0,0.95
"Bahamas, The",BHS,2007,97320000.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,97320000.0,0.92
"Bahamas, The",BHS,2008,97700000.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,97700000.0,0.93
"Bahamas, The",BHS,2009,92730000.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,92730000.0,0.93
"Bahamas, The",BHS,2010,91000000.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,91000000.0,0.9
"Bahamas, The",BHS,2011,130520000.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,130520000.0,1.3
"Bahamas, The",BHS,2012,131130000.0,1.22,0.0,0.0,0.0,0.0,0.0,0.0,131130000.0,1.22
"Bahamas, The",BHS,2013,172380000.0,1.63,0.0,0.0,0.0,0.0,0.0,0.0,172380000.0,1.63
"Bahamas, The",BHS,2014,154220000.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,154220000.0,1.38
"Bahamas, The",BHS,2015,176070000.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,176070000.0,1.48
"Bahamas, The",BHS,2016,165020000.0,1.39,1330000.0,0.01,0.0,0.0,0.0,0.0,163700000.0,1.38
"Bahamas, The",BHS,2017,165810000.0,1.34,1450000.0,0.01,0.0,0.0,0.0,0.0,164360000.0,1.33
"Bahamas, The",BHS,2018,181270000.0,1.42,1440000.0,0.01,0.0,0.0,0.0,0.0,179840000.0,1.41
"Bahamas, The",BHS,2019,183910000.0,1.39,1290000.0,0.01,0.0,0.0,0.0,0.0,182620000.0,1.38
"Bahamas, The",BHS,2020,156990000.0,1.62,1070000.0,0.01,0.0,0.0,0.0,0.0,155930000.0,1.61
"Bahamas, The",BHS,2021,44080000.0,0.39,1060000.0,0.01,0.0,0.0,0.0,0.0,43020000.0,0.38
Bangladesh,BGD,2000,1485000000.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,1485000000.0,0.06
Bangladesh,BGD,2001,1473000000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1473000000.0,0.05
Bangladesh,BGD,2002,2298000000.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,2298000000.0,0.07
Bangladesh,BGD,2003,2938000000.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,2938000000.0,0.08
Bangladesh,BGD,2004,2504000000.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,2504000000.0,0.07
Bangladesh,BGD,2005,2607000000.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,2607000000.0,0.06
Bangladesh,BGD,2006,3288000000.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,3288000000.0,0.07
Bangladesh,BGD,2007,4436000000.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,4436000000.0,0.08
Bangladesh,BGD,2008,4165000000.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,4165000000.0,0.07
Bangladesh,BGD,2009,3861000000.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,3861000000.0,0.06
Bangladesh,BGD,2010,4120000000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,4120000000.0,0.05
Bangladesh,BGD,2011,4812000000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,4812000000.0,0.05
Bangladesh,BGD,2012,5898000000.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,5898000000.0,0.06
Bangladesh,BGD,2013,6413000000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,6413000000.0,0.05
Bangladesh,BGD,2014,8681000000.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,8681000000.0,0.07
Bangladesh,BGD,2015,10184000000.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,10184000000.0,0.07
Bangladesh,BGD,2016,10572000000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,10572000000.0,0.05
Bangladesh,BGD,2017,19959000000.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,19959000000.0,0.09
Bangladesh,BGD,2018,11267000000.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,11267000000.0,0.04
Bangladesh,BGD,2019,9310000000.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,9310000000.0,0.03
Bangladesh,BGD,2020,3359000000.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,3359000000.0,0.01
Belgium,BEL,1995,4231400000.0,2.01,3157200000.0,1.5,358100000.0,0.17,215200000.0,0.1,1580700000.0,0.75
Belgium,BEL,1996,4820600000.0,2.25,3361000000.0,1.57,450200000.0,0.21,310300000.0,0.14,1890800000.0,0.88
Belgium,BEL,1997,5105100000.0,2.28,3491200000.0,1.56,508200000.0,0.23,395300000.0,0.18,1951700000.0,0.87
Belgium,BEL,1998,5173100000.0,2.22,3581300000.0,1.54,467300000.0,0.2,407500000.0,0.18,1929600000.0,0.83
Belgium,BEL,1999,5208000000.0,2.15,3598700000.0,1.49,476200000.0,0.2,408600000.0,0.17,2160100000.0,0.89
Belgium,BEL,2000,5167350000.0,2.02,3613900000.0,1.41,435250000.0,0.17,391000000.0,0.15,2068300000.0,0.81
Belgium,BEL,2001,5258400000.0,1.99,3632200000.0,1.37,457200000.0,0.17,370400000.0,0.14,2222700000.0,0.84
Belgium,BEL,2002,5304700000.0,1.94,3665100000.0,1.34,421600000.0,0.15,382800000.0,0.14,2274800000.0,0.83
Belgium,BEL,2003,5545400000.0,1.97,3893900000.0,1.39,400600000.0,0.14,404700000.0,0.14,2359700000.0,0.84
Belgium,BEL,2004,6143180000.0,2.07,4309900000.0,1.45,578480000.0,0.2,393500000.0,0.13,2410600000.0,0.81
Belgium,BEL,2005,6219000000.0,2.01,4475000000.0,1.44,608400000.0,0.2,226800000.0,0.07,2529000000.0,0.82
Belgium,BEL,2006,5766030000.0,1.77,4237900000.0,1.3,520330000.0,0.16,163200000.0,0.05,2479400000.0,0.76
Belgium,BEL,2007,5838410000.0,1.7,4419500000.0,1.29,497910000.0,0.14,141400000.0,0.04,2584700000.0,0.75
Belgium,BEL,2008,5713740000.0,1.62,4347700000.0,1.24,534040000.0,0.15,130500000.0,0.04,2536500000.0,0.72
Belgium,BEL,2009,5836480000.0,1.69,4483300000.0,1.29,488480000.0,0.14,145000000.0,0.04,2618200000.0,0.76
Belgium,BEL,2010,6230700000.0,1.72,4873600000.0,1.34,494900000.0,0.14,159500000.0,0.04,2662300000.0,0.73
Belgium,BEL,2011,6514300000.0,1.73,5125100000.0,1.36,498700000.0,0.13,140300000.0,0.04,750200000.0,0.2
Belgium,BEL,2012,6393300000.0,1.66,5002100000.0,1.3,491300000.0,0.13,144900000.0,0.04,755000000.0,0.2
Belgium,BEL,2013,6256290000.0,1.59,4845490000.0,1.23,496200000.0,0.13,145700000.0,0.04,768900000.0,0.2
Belgium,BEL,2014,6386580000.0,1.59,4971380000.0,1.23,490900000.0,0.12,134700000.0,0.03,789600000.0,0.2
Belgium,BEL,2015,6749350000.0,1.62,5344450000.0,1.28,503300000.0,0.12,127000000.0,0.03,774600000.0,0.19
Belgium,BEL,2016,7330680000.0,1.7,5961380000.0,1.39,516900000.0,0.12,159000000.0,0.04,693400000.0,0.16
Belgium,BEL,2017,8026010000.0,1.8,6523210000.0,1.47,506200000.0,0.11,142000000.0,0.03,854600000.0,0.19
Belgium,BEL,2018,8367360000.0,1.82,6791460000.0,1.48,527700000.0,0.12,165500000.0,0.04,882700000.0,0.19
Belgium,BEL,2019,8177470000.0,1.71,6581970000.0,1.38,538700000.0,0.11,168400000.0,0.04,888400000.0,0.19
Belgium,BEL,2020,7152550000.0,1.56,5537750000.0,1.2,531500000.0,0.12,161500000.0,0.04,921800000.0,0.2
Belgium,BEL,2021,8130500000.0,1.62,6558200000.0,1.31,479600000.0,0.1,170600000.0,0.03,922100000.0,0.18
Belize,BLZ,1995,2110000.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,2110000.0,0.13
Belize,BLZ,1996,2120000.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,2120000.0,0.13
Belize,BLZ,1997,2240000.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,2240000.0,0.13
Belize,BLZ,1998,2430000.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,2430000.0,0.13
Belize,BLZ,1999,2700000.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,2700000.0,0.14
Belize,BLZ,2000,3000000.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.13
Belize,BLZ,2001,3210000.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,3210000.0,0.14
Belize,BLZ,2002,3340000.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,3340000.0,0.14
Belize,BLZ,2003,3600000.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,3600000.0,0.14
Belize,BLZ,2004,4270000.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,4270000.0,0.15
Belize,BLZ,2005,4690000.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4690000.0,0.16
Belize,BLZ,2006,5120000.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,5120000.0,0.16
